year 	site_id	treatment	bait	abundance	richness	ontacu	ontbat	ontcor	ontmar	dicami	copsol	coptel	cancae	canmut	pseper	canann	cancen
2017	H1	H	F	5	2	0	0	0	4	0	0	0	0	1	0	0	0
2017	H1	H	C	1	1	0	0	0	1	0	0	0	0	0	0	0	0
2017	H10	H	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	H10	H	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	H2	H	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	H2	H	C	2	1	0	0	0	2	0	0	0	0	0	0	0	0
2017	H3	H	F	11	2	0	0	0	10	0	0	0	0	1	0	0	0
2017	H3	H	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	H4	H	F	12	1	0	0	0	12	0	0	0	0	0	0	0	0
2017	H4	H	C	5	2	0	0	0	3	0	0	0	0	2	0	0	0
2017	H5	H	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	H5	H	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	H6	H	F	3	1	0	0	0	0	0	0	0	0	3	0	0	0
2017	H6	H	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	H7	H	F	17	2	0	0	0	16	0	0	0	0	1	0	0	0
2017	H7	H	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	H8	H	F	7	2	0	0	0	2	0	0	0	0	5	0	0	0
2017	H8	H	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	H9	H	F	1	1	0	0	0	1	0	0	0	0	0	0	0	0
2017	H9	H	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	L1	L	F	12	2	0	0	0	2	0	0	0	0	10	0	0	0
2017	L1	L	C	1	1	0	0	0	1	0	0	0	0	0	0	0	0
2017	L10	L	F	1	1	0	0	0	0	0	0	0	0	1	0	0	0
2017	L10	L	C	1	1	0	0	0	1	0	0	0	0	0	0	0	0
2017	L2	L	F	10	2	0	0	0	8	0	0	0	0	2	0	0	0
2017	L2	L	C	1	1	0	0	0	1	0	0	0	0	0	0	0	0
2017	L3	L	F	13	2	0	0	0	12	0	0	0	0	1	0	0	0
2017	L3	L	C	3	1	0	0	0	3	0	0	0	0	0	0	0	0
2017	L4	L	F	12	1	0	0	0	12	0	0	0	0	0	0	0	0
2017	L4	L	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	L5	L	F	3	1	0	0	0	3	0	0	0	0	0	0	0	0
2017	L5	L	C	1	1	0	0	0	1	0	0	0	0	0	0	0	0
2017	L6	L	F	4	1	0	0	0	4	0	0	0	0	0	0	0	0
2017	L6	L	C	4	2	0	0	0	3	0	0	0	0	1	0	0	0
2017	L7	L	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	L7	L	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	L8	L	F	10	2	0	0	0	7	0	0	0	0	3	0	0	0
2017	L8	L	C	2	1	0	0	0	2	0	0	0	0	0	0	0	0
2017	L9	L	F	10	2	0	0	0	7	0	0	0	0	3	0	0	0
2017	L9	L	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	M1	M	F	12	2	0	0	0	11	0	0	0	0	1	0	0	0
2017	M1	M	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	M10	M	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	M10	M	C	2	1	0	0	0	2	0	0	0	0	0	0	0	0
2017	M2	M	F	2	1	0	0	0	2	0	0	0	0	0	0	0	0
2017	M2	M	C	1	1	0	0	0	1	0	0	0	0	0	0	0	0
2017	M3	M	F	5	2	0	0	0	4	0	0	0	0	1	0	0	0
2017	M3	M	C	1	1	0	0	0	1	0	0	0	0	0	0	0	0
2017	M4	M	F	3	1	0	0	0	3	0	0	0	0	0	0	0	0
2017	M4	M	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	M5	M	F	10	1	0	0	0	10	0	0	0	0	0	0	0	0
2017	M5	M	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	M6	M	F	13	2	0	0	0	7	0	0	0	0	6	0	0	0
2017	M6	M	C	1	1	0	0	0	1	0	0	0	0	0	0	0	0
2017	M7	M	F	66	4	1	1	0	30	0	0	0	0	34	0	0	0
2017	M7	M	C	6	1	0	0	0	6	0	0	0	0	0	0	0	0
2017	M8	M	F	1	1	0	0	0	1	0	0	0	0	0	0	0	0
2017	M8	M	C	5	1	0	0	0	5	0	0	0	0	0	0	0	0
2017	M9	M	F	1	1	0	0	0	0	0	0	0	0	1	0	0	0
2017	M9	M	C	1	1	0	0	0	0	0	0	0	0	1	0	0	0
2017	N1	N	F	4	2	0	0	0	1	0	0	0	0	3	0	0	0
2017	N1	N	C	1	1	0	0	0	1	0	0	0	0	0	0	0	0
2017	N10	N	F	2	2	0	0	0	1	0	0	0	0	1	0	0	0
2017	N10	N	C	15	1	0	0	0	0	0	0	0	0	15	0	0	0
2017	N2	N	F	3	2	0	0	0	2	0	0	0	0	1	0	0	0
2017	N2	N	C	1	1	0	0	0	1	0	0	0	0	0	0	0	0
2017	N3	N	F	5	2	0	0	0	2	0	0	0	0	3	0	0	0
2017	N3	N	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	N4	N	F	1	1	0	0	0	1	0	0	0	0	0	0	0	0
2017	N4	N	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	N5	N	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	N5	N	C	6	2	0	0	0	3	0	0	0	0	3	0	0	0
2017	N6	N	F	3	2	0	0	0	2	0	0	0	0	1	0	0	0
2017	N6	N	C	4	2	0	0	0	1	0	0	0	0	3	0	0	0
2017	N7	N	F	8	2	0	0	0	4	0	0	0	0	4	0	0	0
2017	N7	N	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	N8	N	F	34	2	0	0	0	4	0	0	0	0	30	0	0	0
2017	N8	N	C	2	1	0	0	0	2	0	0	0	0	0	0	0	0
2017	N9	N	F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	N9	N	C	5	1	0	0	0	5	0	0	0	0	0	0	0	0
2019	H1	H	F	8	3	2	2	0	0	0	0	0	0	4	0	0	0
2019	H1	H	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019	H10	H	F	11	4	1	5	0	0	0	0	1	0	4	0	0	0
2019	H10	H	C	1	1	0	0	0	0	0	0	0	0	1	0	0	0
2019	H2	H	F	7	3	0	1	0	3	0	0	0	0	3	0	0	0
2019	H2	H	C	2	1	0	0	0	0	0	0	0	0	2	0	0	0
2019	H3	H	F	11	2	0	0	0	8	0	0	0	0	3	0	0	0
2019	H3	H	C	1	1	0	0	0	0	0	0	0	0	1	0	0	0
2019	H4	H	F	10	2	0	0	0	3	0	0	0	0	7	0	0	0
2019	H4	H	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019	H5	H	F	2	2	0	0	0	0	0	0	1	0	1	0	0	0
2019	H5	H	C	2	1	0	0	0	0	0	0	0	0	2	0	0	0
2019	H6	H	F	10	3	2	7	0	0	0	0	0	0	1	0	0	0
2019	H6	H	C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019	H7	H	F	1	1	0	0	0	0	0	0	1	0	0	0	0	0
2019	H7	H	C	3	2	0	0	0	0	0	0	1	0	2	0	0	0
2019	H8	H	F	8	3	0	5	0	0	0	0	1	0	2	0	0	0
2019	H8	H	C	1	1	0	0	0	0	0	0	1	0	0	0	0	0
2019	H9	H	F	1	1	0	1	0	0	0	0	0	0	0	0	0	0
2019	H9	H	C	1	1	0	0	0	0	0	0	0	0	1	0	0	0
2019	L1	L	F	6	3	0	0	0	2	0	0	1	0	3	0	0	0
2019	L1	L	C	3	2	0	0	0	1	0	0	0	0	2	0	0	0
2019	L10	L	F	2	1	0	0	0	0	0	0	0	0	2	0	0	0
2019	L10	L	C	1	1	0	0	0	0	0	0	0	0	1	0	0	0
