year ,site_id,habitat_type,bait,latitude,longitude,LatD,LongD
2017,H1,high_balsa,C,"N08°24'56.7""","W083°21'15.5""",8.41575,-83.35431
2017,H10,high_balsa,C,"N08°24'08.7""","W083°20'58.6""",8.40242,-83.34961
2017,H2,high_balsa,C,"N08°24'46.1""","W083°21'18.6""",8.41281,-83.35517
2017,H3,high_balsa,C,"N08°24'43.2""","W083°21'20.2""",8.412,-83.35561
2017,H4,high_balsa,C,"N08°24'38.0""","W083°21'20.3""",8.41056,-83.35564
2017,H5,high_balsa,C,"N08°24'24.9""","W083°21'17.8""",8.40692,-83.35494
2017,H6,high_balsa,C,"N08°24'29.6""","W083°21'09.2""",8.40822,-83.35256
2017,H7,high_balsa,C,"N08°24'34.7""","W083°21'05.6""",8.40964,-83.35156
2017,H8,high_balsa,C,"N08°24'32.7""","W083°20'59.1""",8.40908,-83.34975
2017,H9,high_balsa,C,"N08°24'17.9""","W083°21'23.6""",8.40497,-83.35656
2017,L1,no_balsa ,C,"N08°24'55.4""","W083°21'13.6""",8.41539,-83.35378
2017,L10,no_balsa ,C,"N08°24'12.2""","W083°21'01.9""",8.40339,-83.35053
2017,L2,no_balsa ,C,"N08°24'41.1""","W083°21'21.3""",8.41142,-83.35592
2017,L3,no_balsa ,C,"N08°24'42.1""","W083°21'18.1""",8.41169,-83.35503
2017,L4,no_balsa ,C,"N08°24'26.3""","W083°21'16.0""",8.40731,-83.35444
2017,L5,no_balsa ,C,"N08°24'22.8""","W083°21'16.6""",8.40633,-83.35461
2017,L6,no_balsa ,C,"N08°24'29.1""","W083°21'11.7""",8.40808,-83.35325
2017,L7,no_balsa ,C,"N08°24'31.8""","W083°21'08.6""",8.40883,-83.35239
2017,L8,no_balsa ,C,"N08°24'27.9""","W083°21'07.2""",8.40775,-83.352
2017,L9,no_balsa ,C,"N08°24'21.1""","W083°21'18.3""",8.40586,-83.35508
2017,M1,medium_balsa,C,"N08°24'47.4""","W083°21'16.4""",8.41317,-83.35456
2017,M10,medium_balsa,C,"N08°24'19.7""","W083°21'22.0""",8.40547,-83.35611
2017,M2,medium_balsa,C,"N08°24'40.0""","W083°21'19.2""",8.41111,-83.35533
2017,M3,medium_balsa,C,"N08°24'22.8""","W083°21'19.9""",8.40633,-83.35553
2017,M4,medium_balsa,C,"N08°24'31.3""","W083°21'11.2""",8.40869,-83.35311
2017,M5,medium_balsa,C,"N08°24'30.2""","W083°21'06.7""",8.40839,-83.35186
2017,M6,medium_balsa,C,"N08°24'25.7""","W083°21'07.7""",8.40714,-83.35214
2017,M7,medium_balsa,C,"N08°24'35.6""","W083°21'00.1""",8.40989,-83.35003
2017,M8,medium_balsa,C,"N08°24'14.7""","W083°21'06.1""",8.40408,-83.35169
2017,M9,medium_balsa,C,"N08°24'10.9""","W083°20'59.4""",8.40297,-83.34983
2017,N1,natural_regen,C,"N08°24'53.1""","W083°21'14.1""",8.41475,-83.35392
2017,N10,natural_regen,C,"N08°24'05.9""","W083°20'58.8""",8.40164,-83.34967
2017,N2,natural_regen,C,"N08°24'49.1""","W083°21'14.6""",8.41364,-83.35406
2017,N3,natural_regen,C,"N08°24'44.9""","W083°21'16.5""",8.41247,-83.35458
2017,N4,natural_regen,C,"N08°24'36.0""","W083°21'21.4""",8.41,-83.356
2017,N5,natural_regen,C,"N08°24'16.9""","W083°21'04.6""",8.40469,-83.35128
2017,N6,natural_regen,C,"N08°24'24.3""","W083°21'14.9""",8.40675,-83.35414
2017,N7,natural_regen,C,NA_pulled_from_Caro_data,NA_pulled_from_Caro_data,8.409,-83.3517
2017,N8,natural_regen,C,"N08°24'29.0""","W083°20'59.6""",8.40806,-83.34989
2017,N9,natural_regen,C,"N08°24'12.9""","W083°21'04.7""",8.40358,-83.35131
2017,P1,primary,C,"N08°24'15.8""","W083°20'00.1""",8.40439,-83.33336
2017,P10,primary,C,"N08°24'25.6""","W083°20'00.1""",8.40711,-83.33336
2017,P11,primary,C,"N08°24'25.7""","W083°19'35.6""",8.40714,-83.32656
2017,P12,primary,C,"N08°24'15.9""","W083°19'45.4""",8.40442,-83.32928
2017,P13,primary,C,"N08°24'35.3""","W083°20'00.2""",8.40981,-83.33339
2017,P14,primary,C,"N08°24'45.0""","W083°20'10.0""",8.4125,-83.33611
2017,P2,primary,C,"N08°24'20.7""","W083°19'50.4""",8.40575,-83.33067
2017,P3,primary,C,"N08°24'26.0""","W083°19'46.2""",8.40722,-83.3295
2017,P4,primary,C,"N08°24'20.8""","W083°19'40.5""",8.40578,-83.32792
2017,P5,primary,C,"N08°24'30.6""","W083°19'40.6""",8.4085,-83.32794
2017,P6,primary,C,"N08°24'35.4""","W083°19'50.4""",8.40983,-83.33067
2017,P7,primary,C,"N08°24'38.6""","W083°19'57.5""",8.41072,-83.33264
2017,P8,primary,C,"N08°24'29.6""","W083°20'08.8""",8.40822,-83.33578
2017,P9,primary,C,"N08°24'30.1""","W083°19'55.1""",8.40836,-83.33197
