Sample_Date_CR_format,Year,Plot,Sample_Code,Treatment,pH,Acidity,Ca,Mg,K,CICE,SA_percent,P,Zn,Cu,Fe,Mn,CE,percent_C,percent_N,CN_ratio,,
26/5/17,2017,H1,H1,H,6.5,0.16,32.46,20.68,0.16,53.46,0.3,3,1.6,23,81,44,0.2,2.62,0.26,10.1,,
25/5/17,2017,H10,H10,H,5.5,0.47,18.21,11.25,0.09,30.02,2,NA,4.7,11,58,104,0.1,2.13,0.23,9.3,,
26/5/17,2017,H2,H2,H,6.2,0.13,30.5,24.2,0.16,54.99,0.2,1,2.8,18,70,22,0.2,2.61,0.26,10,,
26/5/17,2017,H3,H3,H,5.9,0.18,25.34,20.45,0.09,46.06,0.4,1,4.2,16,108,60,0.1,2.71,0.25,10.8,,
26/5/17,2017,H4,H4,H,5.8,0.3,22.41,18.75,0.15,41.61,0.7,1,4.1,15,82,89,0.1,2.35,0.23,10.2,,
25/5/17,2017,H5,H5,H,5.4,0.46,21.41,19.14,0.12,41.13,1,NA,4.3,14,90,80,0.2,2.35,0.24,9.8,,
25/5/17,2017,H6,H6,H,6,0.24,24.59,20.77,0.11,45.71,0.5,1,3.9,17,71,75,0.1,2.38,0.24,9.9,,
25/5/17,2017,H7,H7,H,6.1,0.15,28.09,19.94,0.13,48.31,0.3,1,2.4,13,95,25,0.1,2.11,0.22,9.6,,
25/5/17,2017,H8,H8,H,5.7,0.39,27.62,13.65,0.09,41.75,0.9,NA,2.5,10,85,39,0.1,2.34,0.25,9.4,,
25/5/17,2017,H9,H9,H,5.4,1.05,17.46,9.69,0.09,28.29,4,1,4.4,13,108,116,0.1,2.39,0.24,10,,
26/5/17,2017,L1,L1,L,6.1,0.16,34.4,17.9,0.16,52.62,0.3,NA,2.2,11,54,36,0.2,2.36,0.25,9.4,,
25/5/17,2017,L10,L10,L,5.4,0.73,17.53,9.6,0.06,27.92,3,NA,4.3,9,91,124,0.1,1.96,0.22,8.9,,
26/5/17,2017,L2,L2,L,5.8,0.44,22.29,18.91,0.14,41.78,1,2,5,17,127,120,0.1,2.9,0.27,10.7,,
26/5/17,2017,L3,L3,L,5.8,0.14,27.5,23.41,0.13,51.18,0.3,NA,3.4,18,74,25,0.2,2.69,0.26,10.3,,
25/5/17,2017,L4,L4,L,5.7,0.24,24.11,14.13,0.11,38.59,0.6,1,3.5,11,77,53,0.2,2.74,0.29,9.4,,
25/5/17,2017,L5,L5,L,5.4,0.41,21.07,15.95,0.1,37.53,1,1,4.1,12,114,81,0.2,2.61,0.27,9.7,,
25/5/17,2017,L6,L6,L,5.8,0.25,26.49,18.73,0.13,45.6,0.5,3,3.6,13,87,48,0.1,2.41,0.25,9.6,,
25/5/17,2017,L7,L7,L,5.9,0.26,27.23,20.75,0.12,48.36,0.5,3,3.9,14,101,134,0.1,2.32,0.24,9.7,,
25/5/17,2017,L8,L8,L,5.4,0.54,23.35,15.95,0.07,39.91,1,1,3.9,11,84,45,0.1,2.68,0.28,9.6,,
25/5/17,2017,L9,L9,L,5.3,0.47,24.44,17.84,0.16,42.91,1,2,6,17,129,192,0.1,2.52,0.27,9.3,,
26/5/17,2017,M1,M1,M,6.5,0.14,29.47,21.78,0.17,51.56,0.3,3,2.2,16,58,40,0.1,2.63,0.25,10.5,,
25/5/17,2017,M10,M10,M,5.8,0.29,25.85,20.68,0.13,46.95,0.6,2,4.6,17,99,41,0.1,2.34,0.23,10.2,,
26/5/17,2017,M2,M2,M,6,0.23,24.45,21.14,0.14,45.96,0.5,2,3.9,15,106,130,0.1,2.85,0.26,11,,
